raw_vrs,new_vars,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
subject_id,NA,NA,raw,0,NA,NA,NA,NA,NA,NA
cet_happy,NA,I feel happier and/or more positive after I exercise.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_appearance,NA,I exercise to improve my appearance.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_one_part,NA,I like my days to be organized and structured of which exercise is just one part.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_less_anxious,NA,I feel less anxious after I exercise.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_chore,NA,I find exercise a chore.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_eat_exercise,NA,"If I feel I have eaten too much, I will do more exercise.",raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_week_repeat,NA,My weekly pattern of exercise is repetitive.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_not_slim,NA,I do not exercise to be slim.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_depress,NA,If I cannot exercise I feel low or depressed.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_miss_guilt,NA,I feel extremely guilty if I miss an exercise session.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_injury,NA,I usually continue to exercise despite injury unless I am very ill or too injured.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_enjoy,NA,I enjoy exercising.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_lose_weight,NA,I exercise to burn calories and lose weight.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_less_stress,NA,I feel less stressed and/or tense after I exercise.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_makeup,NA,"If I miss an exercise session, I will try and make up for it when I next exercise.",raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_irritable,NA,If I cannot exercise I feel agitated and/or irritable.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_improve_mood,NA,Exercise improves my mood.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_gain_weight,NA,"If I cannot exercise, I worry that I will gain weight.",raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_set_routine,NA,"I follow a set routine for my exercise sessions (e.g. walk or run the same route, particular exercises, same amount of time, and so on)",raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
cet_frustrated,NA,If I cannot exercise I feel angry and/or frustrated.,raw,0,"never true=1, rarely true=2, sometimes true=3, often true=4, usually true=5, always true=6",NA,NA,NA,NA,NA
compulsive_exercise_test_complete,NA,Complete?,raw,0,"Incomplete=0, Unverified=1, Complete=2",NA,NA,NA,NA,NA
"cet_happy, cet_appearance, cet_one_part, cet_less_anxious, cet_chore, cet_eat_exercise, cet_week_repeat, cet_not_slim, cet_depress, cet_miss_guilt, cet_injury, cet_enjoy, cet_lose_weight, cet_less_stress, cet_makeup, cet_irritable, cet_improve_mood, cet_gain_weight, cet_set_routine, cet_frustrated, subject_id",NA,NA,select,1,NA,NA,NA,NA,NA,NA
subject_id,id,NA,rename,2,NA,NA,NA,NA,NA,NA
cet_happy,cet_happy,I feel happier and/or more positive after I exercise.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=5","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_appearance,cet_appearance,I exercise to improve my appearance.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=6","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_one_part,cet_one,I like my days to be organized and structured of which exercise is just one part.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=7","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_less_anxious,cet_less,I feel less anxious after I exercise.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=8","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_chore,cet_chore,I find exercise a chore.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=9","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_eat_exercise,cet_eat_exercise,"If I feel I have eaten too much, I will do more exercise.",recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=10","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_week_repeat,cet_week,My weekly pattern of exercise is repetitive.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=11","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_not_slim,cet_not_slim,I do not exercise to be slim.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=12","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_depress,cet_depress,If I cannot exercise I feel low or depressed.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=13","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_miss_guilt,cet_guilt,I feel extremely guilty if I miss an exercise session.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=14","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_injury,cet_injury,I usually continue to exercise despite injury unless I am very ill or too injured.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=15","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_enjoy,cet_enjoy,I enjoy exercising.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=16","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_lose_weight,cet_lose,I exercise to burn calories and lose weight.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=17","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_less_stress,cet_less_stress,I feel less stressed and/or tense after I exercise.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=18","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_makeup,cet_makeup,"If I miss an exercise session, I will try and make up for it when I next exercise.",recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=19","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_irritable,cet_irritable,If I cannot exercise I feel agitated and/or irritable.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=20","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_improve_mood,cet_improve,Exercise improves my mood.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=21","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_gain_weight,cet_gain_weight,"If I cannot exercise, I worry that I will gain weight.",recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=22","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_set_routine,cet_routine,"I follow a set routine for my exercise sessions (e.g. walk or run the same route, particular exercises, same amount of time, and so on)",recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=23","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
cet_frustrated,cet_frustrated,If I cannot exercise I feel angry and/or frustrated.,recode,2,"never true=0, rarely true=1, sometimes true=2, often true=3, usually true=4, always true=24","1=0, 2=1, 3=2, 4=3, 5=4, 6=5",NA,NA,NA,NA
"cet_happy, cet_appearance, cet_one_part, cet_less_anxious, cet_chore, cet_eat_exercise, cet_week_repeat, cet_not_slim, cet_depress, cet_miss_guilt, cet_injury, cet_enjoy, cet_lose_weight, cet_less_stress, cet_makeup, cet_irritable, cet_improve_mood, cet_gain_weight, cet_set_routinecet_frustrated",cet_sum,sum of CET,sum,3,NA,NA,NA,NA,NA,NA
