raw_vars,raw_vars,raw_vars,raw_vars,raw_vars,raw_vars,new_vals,if_condition,if_true_return,else_return,code
subject_id,NA,NA,raw,0,NA,NA,NA,NA,NA,NA
muscularity_instruction,NA,"Please read each item carefully then, for each one, choose the item that best applies to you.",raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_1,NA,I wish that I were more muscular.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_2,NA,I lift weights to build up muscle.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_3,NA,I use protein or energy supplements.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_4,NA,I drink weight gain or protein shakes.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_5,NA,I try to consume as many calories as I can in a day.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_6,NA,I feel guilty if I miss a weight training session.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_7,NA,I think I would feel more confident if I had more muscle mass.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_8,NA,Other people think I work out with weights too often.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_9,NA,I think that I would look better if I gained 10 pounds in bulk.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_10,NA,I think about taking anabolic steroids.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_11,NA,I think that I would feel stronger if I gained a little more muscle mass.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_12,NA,I think that my weight training schedule interferes with other aspects of my life.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_13,NA,I think that my arms are not muscular enough.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
muscularity_14,NA,I think that my chest is not muscular enough.,raw,0,"always=1, very often=2, often=3, sometimes=4, rarely=5, never=6",NA,NA,NA,NA,NA
