raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
ex1,NA,I exercise to avoid feeling irritable.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex2,NA,I exercise despite recurring physical problems.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex3,NA,I continually increase my exercise intensity to achieve the desired effects/benefits.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex4,NA,I am unable to reduce how long I exercise.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex5,NA,I would rather exercise than spend time with family/friends.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex6,NA,I spend a lot of time exercising,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex7,NA,I exercise longer than I intend.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex8,NA,I exercise to avoid feeling anxious.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex9,NA,I exercise when injured.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex10,NA,I continually increase my exercise frequency to achieve the desired effects/benefits.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex11,NA,I am unable to reduce how often I exercise,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex12,NA,I think about exercise when I should be concentrating on school/work.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex13,NA,I spend most of my free time exercising.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex14,NA,I exercise longer than I expect.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex15,NA,I exercise to avoid feeling tense.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex16,NA,I exercise despite persistent physical problems.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex17,NA,I continually increase my exercise duration to achieve the desired effects/benefits.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex18,NA,I am unable to reduce how intense I exercise.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex19,NA,I choose to exercise so that I can get out of spending time with family/friends.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex20,NA,A great deal of my time is spent exercising.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
ex21,NA,I exercise longer than I plan.,raw,0,"always=1, very frequently=2, occasionally=3, rarely=4, very rarely=5, never=6",NA,NA,NA,NA,NA
"ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10,ex11,ex12,ex13,ex14,ex15,ex16,ex17,ex18,ex19,ex20,ex21",NA,NA,select ,1,NA,NA,NA,NA,NA,NA
ex1,eds_1_irritable,I exercise to avoid feeling irritable.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex2,eds_2_physical_problem_recurring,I exercise despite recurring physical problems.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex3,eds_3_desired_benefits,I continually increase my exercise intensity to achieve the desired effects/benefits.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex4,eds_4_unable_reduce,I am unable to reduce how long I exercise.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex5,eds_5_friends,I would rather exercise than spend time with family/friends.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex6,eds_6_time,I spend a lot of time exercising,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex7,eds_7_intend,I exercise longer than I intend.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex8,eds_8_feeling_anxious,I exercise to avoid feeling anxious.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex9,eds_9_injured,I exercise when injured.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex10,eds_10_desired_benefits_increase,I continually increase my exercise frequency to achieve the desired effects/benefits.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex11,eds_11_reduce_often,I am unable to reduce how often I exercise,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex12,eds_12_concentration,I think about exercise when I should be concentrating on school/work.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex13,eds_13_free_time,I spend most of my free time exercising.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex14,eds_14_expect,I exercise longer than I expect.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex15,eds_15_tense,I exercise to avoid feeling tense.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex16,eds_16_physical_problem_persist,I exercise despite persistent physical problems.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex17,eds_17_increase_duration,I continually increase my exercise duration to achieve the desired effects/benefits.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex18,eds_18_unable_reduce,I am unable to reduce how intense I exercise.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex19,eds_19_avoid_friends,I choose to exercise so that I can get out of spending time with family/friends.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex20,eds_20_time_great_deal,A great deal of my time is spent exercising.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
ex21,eds_21_length,I exercise longer than I plan.,recode,2,"never=1, very rarely=2, rarely=3, occasionally=4, very frequently=5, always=6","6=1, 5=2, 4=3, 3=4, 2=5, 1=6",NA,NA,NA,NA
"eds_1_irritable,eds_2_physical_problem_recurring,eds_3_desired_benefits,eds_4_unable_reduce,eds_5_friends,eds_6_time,eds_7_intend,eds_8_feeling_anxious,eds_9_injured,eds_10_desired_benefits_increase,eds_11_reduce_often,eds_12_concentration,eds_13_free_time,eds_14_expect,eds_15_tense,eds_16_physical_problem_persist,eds_17_increase_duration,eds_18_unable_reduce,eds_19_avoid_friends,eds_20_time_great_deal,eds_21_length",eds_mean,average of exercise dependency,mean,3,NA,NA,NA,NA,NA,NA
"eds_1_irritable,eds_8_feeling_anxious,eds_15_tense",eds_withdrawl_effects,average of withdrawl effects,mean,3,NA,NA,NA,NA,NA,NA
"eds_2_physical_problem_recurring,eds_9_injured,eds_16_physical_problem_persist",eds_continuance,average of continuance ,mean,3,NA,NA,NA,NA,NA,NA
"eds_3_desired_benefits,eds_10_desired_benefits_increase,eds_17_increase_duration",eds_tolerance,average of tolerance ,mean,3,NA,NA,NA,NA,NA,NA
"eds_4_unable_reduce,eds_11_reduce_often,eds_18_unable_reduce",eds_lack_control,average of lack of control,mean,3,NA,NA,NA,NA,NA,NA
"eds_5_friends,eds_12_concentration,eds_19_avoid_friends",eds_reducation_activities,average of reduction of other activities ,mean,3,NA,NA,NA,NA,NA,NA
"eds_6_time,eds_13_free_time,eds_20_time_great_deal",eds_time,average of time,mean,3,NA,NA,NA,NA,NA,NA
"eds_7_intend,eds_14_expect,eds_21_length",eds_intention,average of intention effects,mean,3,NA,NA,NA,NA,NA,NA
