raw_vrs,new_vars,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
subject_id,NA,NA,raw,0,NA,NA,NA,NA,NA,NA
iuss_unforeseen,NA,Unforeseen events upset me greatly.,raw,0,"Not at all charachteristic of me=1, A little charachteristic of me=2, Somewhat charachteristic of me=3, Very charachteristic of me=4, Entirely charachteristic of me=5",NA,NA,NA,NA,NA
iuss_no_info,NA,It frustrates me not having all the information I need.,raw,0,"Not at all charachteristic of me=1, A little charachteristic of me=2, Somewhat charachteristic of me=3, Very charachteristic of me=4, Entirely charachteristic of me=5",NA,NA,NA,NA,NA
iuss_unfull_life,NA,Uncertainty keeps me from living a full life.,raw,0,"Not at all charachteristic of me=1, A little charachteristic of me=2, Somewhat charachteristic of me=3, Very charachteristic of me=4, Entirely charachteristic of me=5",NA,NA,NA,NA,NA
iuss_avoid_surprise,NA,One should always look ahead so as to avoid surprises.,raw,0,"Not at all charachteristic of me=1, A little charachteristic of me=2, Somewhat charachteristic of me=3, Very charachteristic of me=4, Entirely charachteristic of me=5",NA,NA,NA,NA,NA
iuss_spoil_plan,NA,"A small unforeseen event can spoil everything, even with the best of planning.",raw,0,"Not at all charachteristic of me=1, A little charachteristic of me=2, Somewhat charachteristic of me=3, Very charachteristic of me=4, Entirely charachteristic of me=5",NA,NA,NA,NA,NA
iuss_paralyse,NA,"When it's time to act, uncertainty paralyses me.",raw,0,"Not at all charachteristic of me=1, A little charachteristic of me=2, Somewhat charachteristic of me=3, Very charachteristic of me=4, Entirely charachteristic of me=5",NA,NA,NA,NA,NA
iuss_cant_function,NA,When I am uncertain I can't function very well.,raw,0,"Not at all charachteristic of me=1, A little charachteristic of me=2, Somewhat charachteristic of me=3, Very charachteristic of me=4, Entirely charachteristic of me=5",NA,NA,NA,NA,NA
iuss_know_future,NA,I always want to know what the future has in store for me.,raw,0,"Not at all charachteristic of me=1, A little charachteristic of me=2, Somewhat charachteristic of me=3, Very charachteristic of me=4, Entirely charachteristic of me=5",NA,NA,NA,NA,NA
iuss_not surprise,NA,I can't stand being taken by surprise.,raw,0,"Not at all charachteristic of me=1, A little charachteristic of me=2, Somewhat charachteristic of me=3, Very charachteristic of me=4, Entirely charachteristic of me=5",NA,NA,NA,NA,NA
