raw_vrs,new_vars,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
subject_id,NA,NA,raw,0,NA,NA,NA,NA,NA,NA
upps_reserved,NA,I have a reserved and cautious attitude toward life.,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_impulse_control,NA,I have trouble controlling my impulses.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_excitement,NA,I generally seek new and exciting experiences and sensations.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_end,NA,I generally like to see things through to the end.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_consequence,NA,"When I am very happy, I can't seem to stop myself from doing things that can have bad consequences.        ",raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_careful,NA,My thinking is usually careful and purposeful.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_resist,NA,"I have trouble resisting my cravings (for food, cigarettes, etc.).        ",raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_try,NA,I'll try anything once.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_give_up,NA,I tend to give up easily.	,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_cause_problem,NA,"When I am in great mood, I tend to get into situations that could cause me problems.        ",raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_no_blurt,NA,I am not one of those people who blurt out things without thinking.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_get_out,NA,I often get involved in things I later wish I could get out of.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_move_quick,NA,I like sports and games in which you have to choose your next move very quickly.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_unfinished,NA,Unfinished tasks really bother me.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_cause_problem2,NA,"When I am very happy, I tend to do things that may cause problems in my life.        ",raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_think_before_do,NA,I like to stop and think things over before I do them.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_regret_later,NA,"When I feel bad, I will often do things I later regret in order to make myself feel better now.        ",raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_water_ski,NA,I would enjoy water skiing.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_hate_stop,NA,Once I get going on something I hate to stop.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_lose_control,NA,I tend to lose control when I am in a great mood.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_proceed,NA,I don't like to start a project until I know exactly how to proceed.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_stop_bad,NA,"Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.        ",raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_enjoy_risk,NA,I quite enjoy taking risks.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_concentrate,NA,I concentrate easily.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_ecstatic,NA,"When I am really ecstatic, I tend to get out of control.        ",raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_parachute,NA,I would enjoy parachute jumping.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_finish,NA,I finish what I start.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_rational,NA,"I tend to value and follow a rational, ""sensible"" approach to things.        ",raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_upset_act,NA,When I am upset I often act without thinking.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
upps_bad_choice,NA,Others would say I make bad choices when I am extremely happy about something.        ,raw,0,"agree strongly = 1, agree some = 2, disagree some = 3, disagree strongly = 4",NA,NA,NA,NA,NA
