raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
art_1,NA,I train more than is required by my coach,raw,0,"never=1, rarely=2, sometimes=3, often=4, always=5",NA,NA,NA,NA,NA
art_2,NA,I train/exercise against the advice of the medical/training staff,raw,0,"never=1, rarely=2, sometimes=3, often=4, always=5",NA,NA,NA,NA,NA
art_3,NA,I train despite being injured,raw,0,"never=1, rarely=2, sometimes=3, often=4, always=5",NA,NA,NA,NA,NA
art_4,NA,I feel guilty when I don't train/exercise,raw,0,"never=1, rarely=2, sometimes=3, often=4, always=5",NA,NA,NA,NA,NA
art_5,NA,I feel anxious when I don't train/exercise,raw,0,"never=1, rarely=2, sometimes=3, often=4, always=5",NA,NA,NA,NA,NA
art_6,NA,It is hard for me to change/alter my training routine/schedule,raw,0,"never=1, rarely=2, sometimes=3, often=4, always=5",NA,NA,NA,NA,NA
art_7,NA,It is difficult for me to take a day off from training,raw,0,"never=1, rarely=2, sometimes=3, often=4, always=5",NA,NA,NA,NA,NA
art_8,NA,"I get ""overuse"" injuries",raw,0,"never=1, rarely=2, sometimes=3, often=4, always=5",NA,NA,NA,NA,NA
art_9,NA,I exercise outside of team practices,raw,0,"never=1, rarely=2, sometimes=3, often=4, always=5",NA,NA,NA,NA,NA
art_10,NA,"No matter how hard I train, I am still not lean enough.",raw,0,"strongly agree=1, agree=2, neither agree nor disagree=3, disagree=4, strongly disagree=5",NA,NA,NA,NA,NA
art_11,NA,"No matter how hard I train, I am still not thin enough.",raw,0,"strongly agree=1, agree=2, neither agree nor disagree=3, disagree=4, strongly disagree=5",NA,NA,NA,NA,NA
art_12,NA,I prefer to train alone.,raw,0,"strongly agree=1, agree=2, neither agree nor disagree=3, disagree=4, strongly disagree=5",NA,NA,NA,NA,NA
art_13,NA,"No matter how hard I train, I am not pleased with my body.",raw,0,"strongly agree=1, agree=2, neither agree nor disagree=3, disagree=4, strongly disagree=5",NA,NA,NA,NA,NA
art_14,NA,I do not feel good if I miss a day of training/exercise.,raw,0,"strongly agree=1, agree=2, neither agree nor disagree=3, disagree=4, strongly disagree=5",NA,NA,NA,NA,NA
art_15,NA,I exercise outside of practice to build bigger muscles.,raw,0,"strongly agree=1, agree=2, neither agree nor disagree=3, disagree=4, strongly disagree=5",NA,NA,NA,NA,NA
"art_1,art_2,art_3,art_4,art_5,art_6,art_7,art_8,art_9,art_10,art_11,art_12,art_13,art_14,art_15",NA,NA,select,1,NA,NA,NA,NA,NA,NA
art_1,art_1_more_required,I train more than is required by my coach,recode,2,"never=0, rarely=1, sometimes=2, often=3, always=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
