raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
pvs_biss_1_pre,NA,Right now I feel...,raw,0,"extremely dissastisfied with my physical appearance = 1, mostly dissatisfied with my physical appearance = 2, moderately dissatisfied with my physical appearance = 3, slightly dissatisfied with my physical appearance = 4, neither dissatisfied nor satisfied with my physical appearance = 5, slightly satisfied with my physical appearance = 6, moderately satisfied with my physical appearance = 7, mostly satisfied with my physical appearance = 8, extremely satisfied with my physical appearance = 9",NA,NA,NA,NA,NA
pvs_biss_2_pre,NA,Right now I feel...,raw,0,"extremely dissastisfied with my body shape and size = 1, mostly dissatisfied withmy body shape and size = 2, moderately dissatisfied withmy body shape and size = 3, slightly dissatisfied with my body shape and size = 4, neither dissatisfied nor satisfied with my body shape and size = 5, slightly satisfied withmy body shape and size = 6, moderately satisfied withmy body shape and size = 7, mostly satisfied with my body shape and size = 8, extremely satisfied with my body shape and size = 9",NA,NA,NA,NA,NA
pvs_biss_3_pre,NA,Right now I feel...,raw,0,"extremely dissastisfied with my weight = 1, mostly dissatisfied with my weight = 2, moderately dissatisfied with my weight = 3, slightly dissatisfied with my weight = 4, neither dissatisfied nor satisfied with my weight = 5, slightly satisfied with myweight = 6, moderately satisfied with myweight = 7, mostly satisfied with my weight = 8, extremely satisfied with my weight = 9",NA,NA,NA,NA,NA
pvs_biss_4_pre,NA,Right now I feel...,raw,0,"extremely physically unattractive = 1, mostly physically unattractive = 2, moderately physically unattractive = 3, slightly physically unattractive = 4, neither physically attractive nor unattractive = 5, slightly physically attractive = 6, moderately physically attractive = 7, mostly physically attractive = 8, extremely physically attractive = 9",NA,NA,NA,NA,NA
pvs_biss_5_pre,NA,Right now I feel...,raw,0,"A great deal worse about my looks than I usually feel = 1, Much worse about my looks than I usually feel = 2, Somewhat wrose about my looks than I usually feel = 3, Just slightly worse about my looks than I usually feel = 4, About the same about my looks as usual = 5, Just slightly better about my looks than I usually feel = 6, Somewhat better about my looks than I usually feel = 7, Much better about my looks than I usually feel = 8, A great deal better about my looks than I usually feel = 9.",NA,NA,NA,NA,NA
pvs_biss_6_pre,NA,Right now I feel that I look…,raw,0,"A great deal worse than the average person looks = 1, Much worse than the average person looks  = 2, Somewhat worse than the average person looks  = 3, Just slightly worse than the average person looks l = 4, About the same that the average person looks  = 5, Just slightly better than the average person looks  = 6, Somewhat better than the average person looks  = 7, Much better than the average person looks  = 8, A great deal better than the average person looks = 9.",NA,NA,NA,NA,NA
pvs_selfreport_states_pre_complete,NA,Complete?,raw,0,"incomplete = 0, unverified = 1, complete = 2",NA,NA,NA,NA,NA
pvs_biss_1_post,NA,Right now I feel...,raw,0,"extremely dissastisfied with my physical appearance = 1, mostly dissatisfied with my physical appearance = 2, moderately dissatisfied with my physical appearance = 3, slightly dissatisfied with my physical appearance = 4, neither dissatisfied nor satisfied with my physical appearance = 5, slightly satisfied with my physical appearance = 6, moderately satisfied with my physical appearance = 7, mostly satisfied with my physical appearance = 8, extremely satisfied with my physical appearance = 9",NA,NA,NA,NA,NA
pvs_biss_2_post,NA,Right now I feel...,raw,0,"extremely dissastisfied with my body shape and size = 1, mostly dissatisfied withmy body shape and size = 2, moderately dissatisfied withmy body shape and size = 3, slightly dissatisfied with my body shape and size = 4, neither dissatisfied nor satisfied with my body shape and size = 5, slightly satisfied withmy body shape and size = 6, moderately satisfied withmy body shape and size = 7, mostly satisfied with my body shape and size = 8, extremely satisfied with my body shape and size = 9",NA,NA,NA,NA,NA
pvs_biss_3_post,NA,Right now I feel...,raw,0,"extremely dissastisfied with my weight = 1, mostly dissatisfied with my weight = 2, moderately dissatisfied with my weight = 3, slightly dissatisfied with my weight = 4, neither dissatisfied nor satisfied with my weight = 5, slightly satisfied with myweight = 6, moderately satisfied with myweight = 7, mostly satisfied with my weight = 8, extremely satisfied with my weight = 9",NA,NA,NA,NA,NA
pvs_biss_4_post,NA,Right now I feel...,raw,0,"extremely physically unattractive = 1, mostly physically unattractive = 2, moderately physically unattractive = 3, slightly physically unattractive = 4, neither physically attractive nor unattractive = 5, slightly physically attractive = 6, moderately physically attractive = 7, mostly physically attractive = 8, extremely physically attractive = 9",NA,NA,NA,NA,NA
