raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
negative_evaluation_1,NA,i worry about what other people will think of me even when I know it doesn't make any difference.,raw,0,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_2,NA,I am unconcerned even if I know people are forming an unfavorable impression of me.,raw,0,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_3,NA,I am frequently afraid of other people noticing my shortcomings,raw,0,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_4,NA,I rarely worry about what kind of impression I am making on someone,raw,0,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_5,NA,I am afraid others will not approve of me.,raw,0,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_6,NA,I am afraid that people will find fault with me.,raw,0,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_7,NA,Other people's opinions of me do not bother me.,raw,0,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_8,NA,"When I am talking to someone, I worry about what they may be thinking about me",raw,0,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_9,NA,I am usually worried about what kind of impression I make.,raw,0,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_10,NA,"If I know someone is judging me, it has little effect on me.",raw,0,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_11,NA,Sometimes I think I am too concerned with what other people think of me.,raw,0,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_12,NA,I often worry that I will say or do the wrong things.,raw,0,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
brief_fear_of_negative_evaluation_scale_complete,NA,complete?,raw,0,"Incomplete=0, Unverified=1, Complete=2",NA,NA,NA,NA,NA
"negative_evaluation_1, negative_evaluation_2, negative_evaluation_3, negative_evaluation_4, negative_evaluation_5, negative_evaluation_6, negative_evaluation_7, negative_evaluation_8, negative_evaluation_9, negative_evaluation_10, negative_evaluation_11, negative_evaluation_12, brief_fear_of_negative_evaluation_scale_complete",NA,NA,select,1,NA,NA,NA,NA,NA,NA
negative_evaluation_1,bfnes_worry_think,i worry about what other people will think of me even when I know it doesn't make any difference.,rename,2,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_2,bfnes_unconcerned_think,I am unconcerned even if I know people are forming an unfavorable impression of me.,rename,2,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_3,bfnes_frequently_afraid,I am frequently afraid of other people noticing my shortcomings,rename,2,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_4,bfnes_rarely_worry,I rarely worry about what kind of impression I am making on someone,rename,2,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_5,bfnes_afraid_approve,I am afraid others will not approve of me.,rename,2,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_6,bfnes_afraid_fault,I am afraid that people will find fault with me.,rename,2,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_7,bfnes_other_opinions,Other people's opinions of me do not bother me.,rename,2,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_8,bfnes_when_talking,"When I am talking to someone, I worry about what they may be thinking about me",rename,2,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
negative_evaluation_9,bfnes_usually_worried,I am usually worried about what kind of impression I make.,rename,2,"Not at all characteristic of me=1, A little characteristic of me=2, Somewhat characteristic of me=3, Very characteristic of me=4, Entirely characteristic of me=5",NA,NA,NA,NA,NA
